objectnummer,titel,map_ready_termen,regio
NG-2011-18-28-7,"Gezicht op een straat met militairen in Paramaribo, met daarachter een familie die toekijkt vanuit een raamkozijn",Paramaribo (stad),suriname
NG-2011-18-28-8,Portret van een meisje en een jongen uit Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-11,Jongen met een schooltas voor een huis in Paramaribo,Paramaribo (stad),suriname
NG-2011-18-28-13,Gezicht op een ongebruikte locomotief in een landschap in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-14,Gezicht op regenwoud en vermoedelijk een stuk gekapt bos in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-16,Gezicht op een kapel onder palmbomen in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-17,Gezicht op een fabriek in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-18,Interieur van een fabriek in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-19,Gezicht op een houtfabriek van Philips aan een rivier in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-20,Aankondiging van werkzaamheden aan de weg tussen Burnside en Wageningen in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-21,"Portret van Michaël Slory met op zijn schoot een manuscript met handgeschreven teksten en een foto van Frank Rijkaard, Ruud Gullit en Marco van Basten",Suriname (Zuid-Amerika),suriname
NG-2011-18-28-22,Gezicht op een verkeersbord en een reclamebord voor Vesu veevoer in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-26,"Portret van een onbekende, lachende man in Suriname die klaar is om te zwemmen in een rivier",Suriname (Zuid-Amerika),suriname
NG-2011-18-28-28,Bewaker en een schipper op een veerboot op de Coppename in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-29,Jan Pronk op Johan Adolf Pengel International Airport in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-36,Henck Arron en plaatselijke bestuurders in Asidonopo tijdens een informatiebijeenkomst over de naderende onafhankelijkheid van Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-37,Familie bij het graf van André Rudie Kamperveen die omkwam bij de Decembermoorden in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-39,Voetbalelftal in Suriname met in het midden Desi Bouterse,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-38,Johnny en Helen Kamperveen rouwen om de dood van André Kamperveen die omkwam bij de Decembermoorden in Suriname,Paramaribo (stad),suriname
NG-2011-18-28-40,"Johnny en Helen Kamperveen en Nirmala Rambocus op het Johan Adolf Pengel International Airport in Paramaribo, alle drie zijn ze familieleden van mensen die omkwamen bij de Decembermoorden in Suriname",Paramaribo (stad),suriname
NG-2011-18-28-41,Vrouw bij een herdenking van de slachtoffers van de Decembermoorden in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-42,Moeder van Frank Wijngaarde op de begraafplaats Annette's Hof in Paramaribo tijdens een herdenking van de Decembermoorden in Suriname,Paramaribo (stad),suriname
NG-2011-18-28-43,Hans Prade loopt mee in een herdenking van de Decembermoorden in Suriname,Paramaribo (stad),suriname
NG-2011-18-28-44,Desi Bouterse met een zonnebril op en één vuist in de lucht omringd door mensen,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-45,"Jagernath Lachmon, Henck Arron en Desi Bouterse en Laurens Neede in legerkleding op een bijeenkomst",Suriname (Zuid-Amerika),suriname
NG-2011-18-28-46,Portret van Desi Bouterse met een zonnebril,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-47,Portret van Desi Bouterse met een zonnebril en in legerkleding,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-48,Desi Bouterse tijdens een verkiezingstoespraak,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-49,Desi Bouterse tijdens een verkiezingstoespraak,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-50,Desi Bouterse danst op straat op de Onafhankelijkheidsdag van Suriname in Paramaribo,Paramaribo (stad),suriname
NG-2011-18-28-51,Desi Bouterse en zijn manschappen in de Memre Boekoe-kazerne in Paramaribo,Paramaribo (stad),suriname
NG-2011-18-28-52,Desi Bouterse dept zijn ogen droog achter een microfoon,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-53,Desi Bouterse viert vermoedelijk een verkiezingsoverwinning,Suriname (Zuid-Amerika),suriname
