recordnummer;term;match_wiki;Qids;broader_term;wikidata;PID_overige.URI;PID_overige.URI2;PID_overige.URI3;wiki_id;wiki_id_broader;wiki_id_query;coords
560078;Post Leyden;Fort Leyden;http://www.wikidata.org/entity/Q138841837;Paramaribo (stad);http://www.wikidata.org/entity/Q138841837;;;;Q138841837;;wd:Q138841837;Point(-55.100876008 5.904624576)
567324;Post Mindrineti;Post Mindrineti;;Suriname (Zuid-Amerika);;;;;;Q730;wd:Q730;Point(-56.0 4.0)
103392;Presidentieel Paleis;Presidential Palace of Suriname;http://www.wikidata.org/entity/Q2196027;Paramaribo (stad);http://www.wikidata.org/entity/Q2196027;;;;Q2196027;;wd:Q2196027;Point(-55.15127222 5.82681389)
103416;Republiek (Suriname);Suriname;http://www.wikidata.org/entity/Q730;Paramaribo (stad);http://www.wikidata.org/entity/Q730;;;;Q730;;wd:Q730;Point(-56.0 4.0)
561503;Rosakerk;Sint-Rosakerk;http://www.wikidata.org/entity/Q56632823;Paramaribo (stad);http://www.wikidata.org/entity/Q56632823;;;;Q56632823;;wd:Q56632823;Point(-55.163528 5.822472)
111006;'s Lands Hospitaal;'s Lands Hospitaal;http://www.wikidata.org/entity/Q15868275;Paramaribo (stad);http://www.wikidata.org/entity/Q15868275;;;;Q15868275;;wd:Q15868275;Point(-55.156352777 5.830591666)
103876;Sabakoe;Sabakoe;http://www.wikidata.org/entity/Q7395850;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q7395850;;;;Q7395850;;wd:Q7395850;Point(-55.190833333 5.423055555)
567319;Sarakreek;;;Brokopondo;http://www.wikidata.org/entity/Q2398165;http://www.wikidata.org/entity/Q2398165;;;Q2398165;;wd:Q2398165;Point(-55.08333333 4.9)
105867;Saramacca;Saramacca District;http://www.wikidata.org/entity/Q1351157;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1351157;;;;Q1351157;;wd:Q1351157;Point(-55.624722222 5.7825)
103415;Saramaccastraat;Saramaccastraat;http://www.wikidata.org/entity/Q107435480;Paramaribo (stad);http://www.wikidata.org/entity/Q107435480;;;;Q107435480;;wd:Q107435480;Point(-55.1619971 5.8223672)
573898;Sint Petrus en Pauluskerk (Paramaribo);Saint Peter and Paul Cathedral;http://www.wikidata.org/entity/Q2736107;Paramaribo (stad);http://www.wikidata.org/entity/Q2736107;;;;Q2736107;;wd:Q2736107;Point(-55.154092 5.828681)
117201;Sint-Petrus-en-Pauluskathedraal;;;Paramaribo (stad);http://www.wikidata.org/entity/Q2736107;http://www.wikidata.org/entity/Q2736107;;;Q2736107;;wd:Q2736107;Point(-55.154092 5.828681)
148702;Sipaliwini;Sipaliwini Savanna;http://www.wikidata.org/entity/Q2299612;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q2299612;http://vocab.getty.edu/tgn/7593330;;;Q2299612;;wd:Q2299612;Point(-56.124722222 2.025)
103404;'s-Landsgrond Boniface;'s-Landsgrond Boniface;;Paramaribo (stad);;;;;;Q3001;wd:Q3001;Point(-55.166666666 5.866666666)
560567;Slootwijk;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q2777030;http://www.wikidata.org/entity/Q2777030;;;Q2777030;;wd:Q2777030;Point(-54.866667 5.816667)
103867;Soldatenstraat;Henck Arron Street;http://www.wikidata.org/entity/Q2794939;Paramaribo (stad);http://www.wikidata.org/entity/Q2794939;;;;Q2794939;;wd:Q2794939;Point(-55.16185 5.83236)
36401;Sommelsdijk (Suriname);Sommelsdijk;http://www.wikidata.org/entity/Q59133844;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59133844;;;;Q59133844;;wd:Q59133844;Point(-54.865551763 5.862920033)
103407;Sommelsdijkse straat;Van Sommelsdijckstraat;http://www.wikidata.org/entity/Q110189323;Paramaribo (stad);http://www.wikidata.org/entity/Q110189323;;;;Q110189323;;wd:Q110189323;Point(-55.148606 5.8297659)
571566;Statengebouw;;;Paramaribo (stad);http://www.wikidata.org/entity/Q1760847;http://www.wikidata.org/entity/Q1760847;;;Q1760847;;wd:Q1760847;Point(-55.150694444 5.825333333)
